Weight,Feature
-0.060147782911016474,race=AfricanAmerican
-0.05260210123882587,race=Caucasian
0.018970540201323927,race=Hispanic
0.02609669963576035,race=Asian
0.013072919662271193,race=Other
-0.020721466125036715,gender
-0.0973706706967333,age
-0.01563670399413752,admission_type_id=1
-0.05743921118983605,admission_type_id=2
0.003406486935619044,admission_type_id=3
0.11271864175304841,admission_type_id=4
-0.045845672755127694,admission_type_id=5
-0.17294746386144952,admission_type_id=6
0.0832820561858729,admission_type_id=7
0.012570962811128912,admission_type_id=8
-0.09427465777382307,discharge_disposition_id=1
-0.047816611350269024,discharge_disposition_id=2
-0.14648704512159294,discharge_disposition_id=3
-0.026974481489567024,discharge_disposition_id=4
-0.09078029360909541,discharge_disposition_id=5
-0.133067477771306,discharge_disposition_id=6
-0.020855034080597593,discharge_disposition_id=7
-0.019207147782476706,discharge_disposition_id=8
-0.12260371175957377,discharge_disposition_id=9
0.009073231717573522,discharge_disposition_id=10
1.5134324715166654,discharge_disposition_id=11
-0.1681035342148209,discharge_disposition_id=12
0.3897021447851344,discharge_disposition_id=13
0.18703842192559259,discharge_disposition_id=14
-0.17759603911315774,discharge_disposition_id=15
0.110413119304916,discharge_disposition_id=16
0.0044790731898490576,discharge_disposition_id=17
-0.048042584745920096,discharge_disposition_id=18
0.09017970918256467,discharge_disposition_id=19
0.08787977246348234,discharge_disposition_id=20
-0.17134221636466376,discharge_disposition_id=22
0.021714421489295897,discharge_disposition_id=23
0.013798325794456296,discharge_disposition_id=24
0.027483469228583506,discharge_disposition_id=25
0.006942657005641451,discharge_disposition_id=27
-0.04823462062082696,discharge_disposition_id=28
-0.027937469784986665,admission_source_id=1
0.024660682381177117,admission_source_id=2
-0.00374685272820591,admission_source_id=3
0.09963192187608873,admission_source_id=4
0.03614475224460394,admission_source_id=5
0.05859103689173862,admission_source_id=6
-0.07725233358383617,admission_source_id=7
0.23586131949763622,admission_source_id=8
-0.00426026802912159,admission_source_id=9
0.05601562722463272,admission_source_id=10
0.11471932201847297,admission_source_id=11
-0.15897420048124886,admission_source_id=14
0.09868197859907636,admission_source_id=17
-0.0470367604195476,admission_source_id=20
0.012429743658284398,admission_source_id=22
0.08232381362830578,admission_source_id=25
-0.07961789509059201,time_in_hospital
-0.02923774924186935,num_lab_procedures
0.061233801700365374,num_procedures
0.00202190427888028,num_medications
-0.1979199422680269,number_outpatient
-0.49935605728532517,number_emergency
-1.2067962635838745,number_inpatient
0.032113297732778046,diag_1=Q
-0.06854485735449661,diag_1=H
0.03992730863225414,diag_1=N
-0.00845809479075302,diag_1=C
0.001070090946730219,diag_1=M
-0.024238872473793378,diag_1=D
-0.004191608048538524,diag_1=I
0.02452393464206473,diag_1=K
0.04124241641267618,diag_1=B
0.006144963090512991,diag_1=J
-0.0011156917670091457,diag_1=E
0.0182269134578544,diag_1=A
0.02504185322619316,diag_1=F
0.043256549972831966,diag_1=R
-0.01483625075594512,diag_1=Y
0.009297287737168742,diag_1=L
0.016734970461239725,diag_1=G
0.01134915446447538,diag_1=O
-0.021057000397049847,diag_2=H
-0.0025239546583053414,diag_2=C
0.04490894607557795,diag_2=Q
-0.013578452538518714,diag_2=A
-0.002697694754172361,diag_2=B
0.017650115620078764,diag_2=I
0.030378156370727664,diag_2=J
-0.0546942451479513,diag_2=M
0.0014479672081337235,diag_2=K
0.04369964620753056,diag_2=E
0.0031687193899940886,diag_2=G
0.01613892063433564,diag_2=N
0.031084426197389232,diag_2=F
-0.002894481199104106,diag_2=X
0.009791240972254455,diag_2=Y
0.04604387215245775,diag_2=L
0.01638913312173902,diag_2=D
0.022830405576142247,diag_2=R
0.012159883411757201,diag_2=O
-0.0018139649865675633,diag_3=Q
0.023581074587623128,diag_3=C
-0.027067216316544566,diag_3=M
-0.0040652762567779934,diag_3=H
-0.006077228744435122,diag_3=I
0.006497563372770763,diag_3=B
0.0063450916939380006,diag_3=K
0.01892208677987899,diag_3=R
0.003612370989136345,diag_3=E
-0.004813023047774603,diag_3=D
-0.019093911961367463,diag_3=J
0.010705761528757863,diag_3=N
0.019611977517426847,diag_3=A
-0.009636889079458213,diag_3=Y
0.015167399200413522,diag_3=X
-0.009831274917261544,diag_3=F
0.02082644355138109,diag_3=L
0.015270711420269584,diag_3=G
0.014115266067210032,diag_3=O
-0.1570033042809715,number_diagnoses
-0.03932965200811398,max_glu_serum=None
-0.048143934706087764,max_glu_serum=>300
-0.04437969351733362,max_glu_serum=>200
-0.021352193119931334,max_glu_serum=Norm
0.07645785373866636,A1Cresult=None
0.06290437040401721,A1Cresult=>7
0.09106581348390135,A1Cresult=Norm
0.08072208040023826,A1Cresult=>8
-0.041553377379680914,insulin=Up
-0.021523694102050784,insulin=No
0.022136411162382685,insulin=Steady
-0.062090139808493754,insulin=Down
-0.023833000607527112,change
0.14316567289473953,diabetesMed
